name,openPrice,high_low,close,prevCloseDate,marketCap,sharesOutstanding,float,normalizedEPS,mthvwap,unadjVWAP,adjVWAP,peratio,price/Sales,price/CF,pricebookvalue,dividend,divident_5_yr_avg,debt,long term debt/equity,enterpriseValue,assets,cash,roe,roa,capEx,EBIT,revenue,operating_income,operating_margin,netincome,net_profit_margin,revenue_per_share_5_yr_growth,eps_per_share_5_yr_growth,ebita
Jardine C&C,34.810,36.2,-,11 May 2019,"14,345.64M",395.24M,24.00%,1.58,7.83M,SGD 34.66415,SGD 34.63787,24.3757025,0.5207847281635803,4.458580833333334,1.7209999999999999,3.241,2.811,"7,365.52M",45.61M,"21,711.16M","27,230.80M","1,949.30M",6.684,5.996,-981.90M,-,"25,754.78M","1,719.90M",9.056000000000001,569.02M,8.317,-2.344,-15.755,-
ComfortDelGro,2.570,2.61,-,11 May 2019,"5,668.98M",2.17B,98.47%,0.13,161.57M,SGD 2.28661,SGD 2.28765,18.372053639846744,1.4446794674182706,7.412628352490421,2.1630000000000003,4.023,3.955,-16.20M,18.35M,"5,652.78M","5,136.70M",586.10M,11.594000000000001,7.202000000000001,-368.20M,-,"3,805.20M",438.80M,11.532,303.30M,9.429,-0.07200000000000001,2.49,-
JMH USD,64.310,63.6,-,11 May 2019,"46,855.64M",386.44M,95.55%,6.07,5.01M,USD 65.19024,USD 65.09844,13.889068825277649,1.1151395136862825,8.395608634443924,0.9129999999999999,2.673,2.608,"9,193.00M",26.85M,"56,048.64M","86,258.00M","5,038.00M",6.6610000000000005,5.332000000000001,"-1,591.00M",-,"42,527.00M","4,348.00M",10.224,"1,732.00M",10.589,1.125,1.666,-
CityDev,8.740,9.23,-,11 May 2019,"8,392.85M",906.90M,42.20%,0.62,37.51M,SGD 8.74339,SGD 8.72376,15.27752,1.7748259903579255,9.15007135135135,0.8340000000000001,1.517,1.250,"4,023.80M",50.48M,"13,329.77M","20,885.69M","1,953.60M",5.801,3.283,-201.13M,-,"4,222.56M",904.58M,21.421999999999997,544.43M,15.649000000000001,5.631,-4.51,-
Wilmar Intl,3.510,3.64,-,11 May 2019,"23,370.42M",6.33B,26.25%,0.27,113.21M,SGD 3.22233,SGD 3.22245,14.359609756097559,0.3501647828673409,7.810463414634146,1.061,2.885,2.671,"24,656.04M",34.42M,"50,016.27M","45,679.89M","3,695.72M",7.205,2.927,"-1,325.44M",-,"60,343.34M","1,335.15M",3.2439999999999998,"1,563.99M",2.8489999999999998,0.415,-2.426,-
Best World,1.360,1.93,-,11 May 2019,"1,069.98M",549.40M,44.83%,0.13,97.14M,SGD 2.29418,SGD 2.29466,10.64236559139785,2.1481364319574516,10.419354838709678,6.103,1.969,2.670,-204.67M,-,865.31M,288.39M,206.72M,48.074,29.978,-2.59M,-,266.30M,93.14M,34.976,72.89M,27.252,43.26,116.465,-
SIA,9.540,9.85,-,11 May 2019,"11,818.53M",1.18B,99.60%,0.75,23.55M,SGD 9.60561,SGD 9.60563,17.167142566191444,0.6861328059863695,5.356778004073319,0.951,3.858,2.716,"3,630.30M",21.80M,"12,219.73M","27,549.20M","2,726.10M",6.5329999999999995,2.58,"-5,269.30M",-,"16,265.40M","1,061.60M",6.3389999999999995,661.90M,4.31,0.8420000000000001,18.722,-
Venture,16.030,19.24,-,11 May 2019,"5,566.72M",288.13M,91.02%,1.27,27.86M,SGD 16.078,SGD 16.06599,11.443247284014486,1.0989555119792942,11.517882565959649,2.357,3.638,4.638,-711.03M,-,"4,855.69M","3,204.60M",712.83M,16.39,11.658,-58.85M,-,"3,484.60M",432.97M,12.425,370.06M,10.621,7.193,21.703,-
ThaiBev,0.825,0.825,-,11 May 2019,"20,760.75M",25.11B,28.48%,0.04,478.73M,SGD 0.70802,SGD 0.70959,21.35585889570552,1.942813052805901,15.669938650306747,3.801,2.053,-,"8,343.92M",179.22M,"29,689.94M","417,941.61M","22,529.72M",14.839,6.095,"-7,436.99M",-,"10,947.69M","23,191.16M",9.774,982.32M,9.812,-,-,-
SPH,2.390,2.47,-,11 May 2019,"3,953.60M",1.61B,94.31%,0.19,63.68M,SGD 2.52061,SGD 2.51808,14.105877551020408,3.887368346522282,11.302261224489795,1.155,3.441,3.795,"1,611.14M",37.86M,"5,079.80M","6,196.69M",481.16M,8.083,4.737,-22.67M,-,967.74M,199.72M,21.740,266.10M,31.287,-4.525,-8.177,-
DairyFarm USD,7.850,7.81,-,11 May 2019,"10,564.61M",1.35B,22.21%,0.16,12.30M,USD 8.64562,USD 8.72492,114.67882465057178,0.8944365555912548,34.3584625158831,7.301,2.689,2.705,744.00M,1.00M,"11,308.61M","5,389.60M",296.20M,5.865,1.430,-256.10M,-,"11,749.30M",78.90M,0.672,92.00M,0.660,2.548,-28.750,-
Sembcorp Marine,1.580,1.69,-,11 May 2019,"3,531.70M",2.09B,98.88%,-0.04,133.28M,SGD 1.64438,SGD 1.64457,-,0.6030596411507235,27.549537572254337,1.527,1.183,-,"3,379.42M",137.28M,"6,923.40M","8,577.26M",837.72M,-3.1210000000000004,-0.858,-343.40M,-,"4,887.87M",-52.32M,-1.070,-74.13M,-1.603,-2.411,-,-
ST Engineering,4.020,3.87,-,11 May 2019,"12,084.06M",3.12B,98.75%,0.16,76.81M,SGD 3.61503,SGD 3.61613,25.493240310077518,1.9465551349077574,16.505891472868214,5.375,3.876,3.881,79.58M,12.04M,"12,165.02M","7,573.02M",414.82M,22.156,6.622,-451.51M,-,"6,697.93M",562.60M,8.514,494.24M,7.710,0.038,-3.328,-
HongkongLand USD,6.910,7.1,-,11 May 2019,"16,570.89M",2.33B,49.43%,1.05,39.16M,USD 6.83254,USD 6.81914,6.565470505617977,5.855675137687792,6.534414325842697,0.4320000000000001,3.099,2.961,"3,563.80M",10.81M,"20,223.09M","44,963.00M","1,286.80M",6.5360000000000005,5.597,-150.40M,-,"2,665.40M","2,331.80M",87.484,"2,457.10M",92.185,7.595,15.721,-
Sembcorp Ind,2.530,2.71,-,11 May 2019,"4,844.25M",1.78B,99.48%,0.18,60.83M,SGD 2.64294,SGD 2.64098,13.00494139194139,0.3555626132109648,4.846849816849817,0.7120000000000001,1.476,2.764,"8,712.00M",130.67M,"13,652.25M","23,321.00M","1,924.00M",5.0539999999999985,1.411,"-1,127.00M",-,"11,689.00M",415.00M,3.575,347.00M,2.840,1.639,-15.691,-
Hi-P,1.320,1.46,-,11 May 2019,"1,295.28M",800.67M,13.97%,0.12,182.59M,SGD 1.2158,SGD 1.21648,10.467510204081634,0.745049562682216,6.863102040816327,2.073,3.425,7.216,-117.52M,-,"1,177.75M","1,224.68M",286.65M,18.48,8.059,-61.19M,-,"1,402.12M",124.49M,8.878,100.95M,7.198,2.472,74.225,-
SATS,5.270,5.24,-,11 May 2019,"5,890.06M",1.11B,98.80%,0.22,34.75M,SGD 4.90378,SGD 4.90308,22.369789674952198,3.359809237777347,16.708822179732312,3.641,3.435,3.835,-173.90M,5.89M,"5,623.20M","2,348.36M",373.28M,16.152,12.001,-99.23M,-,"1,779.98M",226.37M,13.611,263.87M,15.350,-1.175,5.220,-
Golden Agri-Res,0.280,0.295,-,11 May 2019,"3,797.16M",12.73B,49.19%,0.0,303.10M,SGD 0.26017,SGD 0.25996,-,0.32952862133835004,8.990295081967213,0.6659999999999999,1.966,1.690,"3,343.42M",36.20M,"7,629.92M","8,545.58M",510.60M,-0.043,0.023,-265.90M,-,"9,719.75M",121.28M,2.046,-2.40M,0.026,1.873,-,-
AEM,1.000,1.08,-,11 May 2019,295.17M,269.05M,73.72%,0.12,228.62M,SGD 1.00634,SGD 1.00638,8.059633027522935,0.9468899924248799,7.6577981651376135,3.2460000000000004,3.148,3.560,-58.63M,0.05M,236.54M,136.43M,58.89M,45.472,26.466,-4.73M,-,262.33M,39.75M,16.720,33.49M,12.767,41.033,47.779,-
TEE Intl,0.094,0.113,-,11 May 2019,73.24M,646.73M,34.38%,-0.01,155.00M,SGD 0.12941,SGD 0.13038,-,0.16569587901701321,-,0.777,-,1.757,283.30M,186.07M,345.58M,626.87M,35.63M,-8.272,-1.213,-1.60M,-,295.80M,-1.18M,1.540,-7.21M,-2.355,1.000,-,-
Yanlord Land,1.430,1.48,-,11 May 2019,"2,882.71M",1.93B,28.91%,0.37,47.53M,SGD 1.3258,SGD 1.32446,3.77576821192053,0.5138931187228629,2.4631986754966886,0.565,4.595,3.395,"6,350.68M",133.59M,"9,233.39M","106,680.78M","10,317.37M",14.843,5.069,-464.77M,-,"5,031.33M","10,541.66M",42.356,716.57M,21.679,17.687,19.629,-
First Resources,1.710,1.85,-,11 May 2019,"2,938.34M",1.58B,29.48%,0.1,14.54M,SGD 1.65464,SGD 1.65614,16.776586956521736,2.9538108459357275,10.327842391304346,2.324,1.838,1.761,441.60M,37.64M,"3,379.94M","1,571.04M",55.36M,12.605,7.734,-95.99M,-,859.07M,187.15M,29.543,162.73M,20.156,0.222,-12.818,-
TheHourGlass,0.750,0.8,-,11 May 2019,564.01M,705.01M,31.35%,0.07,10.91M,SGD 0.66149,SGD 0.66149,8.689144736842104,0.7673995844875346,7.70921052631579,1.048,2.500,3.039,-134.87M,-,433.17M,626.08M,180.50M,10.109,10.451,-6.47M,-,715.56M,63.63M,10.890,64.06M,9.099,2.818,-1.172,-
Olam Intl,1.800,1.91,-,11 May 2019,"6,247.65M",3.18B,69.14%,0.07,22.22M,SGD 1.88686,SGD 1.88717,19.395692307692308,0.17467455621301775,8.053846153846154,0.961,3.927,-,"8,787.86M",102.62M,"15,029.46M","23,446.82M","2,486.43M",4.58,1.413,-821.14M,-,"30,479.06M",866.55M,2.843,292.39M,1.060,-,-,-
SingPost,0.970,1.05,-,11 May 2019,"2,388.84M",2.25B,83.97%,0.05,66.39M,SGD 0.98373,SGD 0.98367,22.76422115384615,1.3622867973372779,12.173499999999999,1.384,3.333,3.454,-60.95M,12.93M,"2,316.85M","2,684.14M",315.97M,6.537000000000001,4.569,-62.14M,-,"1,525.13M",134.14M,10.749,103.14M,8.132,13.108,-5.242,-
Frencken,0.615,0.645,-,11 May 2019,273.38M,422.89M,61.34%,0.08,31.60M,SGD 0.51799,SGD 0.51799,8.593915384615384,0.39120550295857986,5.543515384615384,1.026,3.318,4.206,1.62M,0.46M,275.00M,463.74M,67.08M,11.728,6.867,-24.33M,-,625.79M,40.16M,6.418,30.03M,4.850,5.910,9.894,-
JSH USD,37.690,36.98,-,11 May 2019,"40,972.04M",1.11B,15.96%,4.27,5.90M,USD 37.3004,USD 37.17252,11.692570230040593,1.2506271629913515,7.766486062246278,1.3,0.919,0.886,"9,251.00M",22.11M,"50,223.04M","85,043.00M","4,640.00M",5.916,5.232,"-1,281.00M",-,"34,094.00M","4,081.00M",11.970,"1,836.00M",12.747,2.273,2.974,-
Y Ventures,0.100,0.135,-,11 May 2019,27.75M,205.00M,52.59%,-0.03,63.82M,SGD 0.09265,SGD 0.08563,-,0.8000847397782643,-,58.896,-,-,2.35M,26.30M,30.10M,13.44M,1.13M,-74.64,-33.471,-0.33M,-,24.50M,-3.80M,-21.029,-4.89M,-21.535,-,-,-
Japfa,0.545,0.69,-,11 May 2019,"1,301.41M",1.87B,19.82%,0.08,71.26M,SGD 0.72861,SGD 0.72891,-,-,-,1.208,0.725,-,"1,425.16M",99.75M,"2,726.57M","2,889.27M",166.70M,13.630999999999998,-,-237.25M,-,-,243.60M,-,-,-,1.294,14.361,-
China Everbright,0.385,0.395,-,11 May 2019,"1,059.78M",2.68B,24.38%,0.04,37.30M,SGD 0.35494,SGD 0.35492,9.189693333333333,1.3555011555555554,7.621973333333333,0.768,2.506,-,920.42M,68.15M,"1,983.95M","19,584.39M","2,253.92M",8.541,3.916,-11.18M,-,824.18M,"1,324.80M",27.783,116.92M,15.451,-,-,-
InnoTek,0.520,0.585,-,11 May 2019,144.29M,226.31M,72.88%,0.1,8.99M,SGD 0.49032,SGD 0.49032,6.2192,0.590857520661157,5.392872727272727,0.885,1.709,-,-60.08M,0.02M,84.21M,223.56M,60.14M,14.271,9.361,-9.99M,-,218.30M,23.35M,10.694,20.24M,9.271,-2.688,84.804,-
Frasers Property,1.840,1.87,-,11 May 2019,"5,459.44M",2.92B,12.49%,0.28,5.96M,SGD 1.70868,SGD 1.70895,7.137465968586389,1.0885964748773338,4.223329842931938,0.573,4.599,5.086,"12,269.14M",130.67M,"17,800.40M","32,420.94M","2,585.19M",7.447999999999999,4.179,"-1,424.17M",-,"4,654.91M",879.19M,21.561,741.47M,27.332,-11.634,-24.743,-
SingMedical,0.445,0.47,-,11 May 2019,225.94M,480.72M,16.03%,0.03,13.36M,SGD 0.44337,SGD 0.44337,16.30025531914894,2.3809615210502497,12.674925531914896,1.727,-,-,-2.09M,8.95M,223.85M,181.79M,20.01M,10.816,7.392,-3.42M,-,85.07M,15.15M,17.807,12.93M,15.182,4.016,-,-
China Sunsine,1.090,1.21,-,11 May 2019,594.66M,491.31M,30.62%,0.26,29.04M,SGD 1.20199,SGD 1.20191,4.132090909090909,0.7270935045420397,3.5870909090909096,1.264,6.612,-,-209.96M,-,-,"2,747.30M","1,038.60M",31.53,26.306,-129.70M,-,663.73M,711.60M,21.671,129.62M,19.530,12.888,51.243,-
StarHub,1.510,1.53,-,11 May 2019,"2,651.93M",1.73B,88.80%,0.11,84.95M,SGD 1.70287,SGD 1.70288,13.520915032679737,1.0938324148831644,5.321516339869281,5.017,10.458,6.029,862.50M,185.27M,"3,514.43M","2,635.50M",166.00M,35.712,7.611,-272.80M,-,"2,362.00M",273.50M,11.579,201.70M,8.493,-0.142,-12.644,-
Valuetronics,0.635,0.68,-,11 May 2019,296.99M,434.99M,65.38%,0.08,72.66M,SGD 0.69189,SGD 0.69187,7.818782608695654,0.5208640516698173,6.482521739130435,1.541,5.152,5.371,-130.47M,-,180.99M,"1,968.76M",671.09M,20.468,9.594,-82.39M,-,482.88M,230.41M,7.996,34.68M,7.182,3.586,9.811,-
Hong Fok,0.840,0.895,-,11 May 2019,779.20M,693.02M,10.83%,0.27,24.21M,SGD 0.85768,SGD 0.87695,-,-,-,0.327,1.117,1.377,708.42M,34.50M,"1,487.61M","3,379.95M",68.20M,10.478,-,-15.95M,-,-,300.42M,-,-,-,-11.044,-8.867,-
Citic Envirotech,0.380,0.455,-,11 May 2019,"1,101.28M",2.42B,18.09%,0.04,65.58M,SGD 0.44101,SGD 0.44101,12.10989010989011,0.7721328341987683,6.042417582417583,0.931,2.747,-,"1,007.19M",85.04M,"2,108.47M","3,786.76M",376.52M,5.37,3.204,-31.10M,-,994.47M,198.15M,19.925,75.52M,11.381,-,-,-
Yongnam,0.168,0.192,-,11 May 2019,100.34M,522.60M,59.04%,-0.1,37.12M,SGD 0.18187,SGD 0.18039,-,0.47621875,-,0.395,-,-,125.81M,35.73M,226.14M,478.14M,14.26M,-18.283,-11.226,-32.88M,-,161.45M,-66.05M,-40.913,-51.02M,-33.577,-21.654,-,-
Thomson Medical,0.072,0.077,-,11 May 2019,"2,031.64M",26.33B,8.72%,0.0,420.09M,SGD 0.07858,SGD 0.07858,911.8421052631578,8.457207756232686,65.92168421052631,2.812,-,-,456.56M,47.85M,"2,488.19M","1,489.07M",121.75M,2.018,0.981,-24.14M,-,215.61M,22.04M,10.223,10.84M,6.818,-,-,-
Koufu,0.710,0.8,-,11 May 2019,444.13M,555.16M,22.84%,0.05,37.18M,SGD 0.70842,SGD 0.72526,14.894025,1.5627099999999998,10.9970125,4.859,2.750,-,-91.20M,4.77M,352.93M,159.70M,95.98M,36.478,-,-14.97M,-,223.84M,29.05M,12.976,24.51M,10.935,-,-,-
Bumitama Agri,0.695,0.72,-,11 May 2019,"1,272.41M",1.74B,16.05%,0.06,8.10M,SGD 0.67849,SGD 0.67896,11.467979310344825,1.4445951010701543,6.84455172413793,1.6780000000000002,3.819,-,475.69M,12.03M,"1,748.09M","16,538,804.00M","299,053.00M",14.416,8.140,"-705,609.00M",-,809.52M,"1,811,910.00M",21.619,105.97M,15.455,15.671,5.181,-
GL,0.770,0.825,-,11 May 2019,"1,131.66M",1.37B,29.15%,0.07,17.10M,SGD 0.73991,SGD 0.73991,12.23145,2.2066996875,8.410325,0.769,2.667,2.404,189.18M,23.20M,"1,335.61M","1,455.60M",105.40M,6.579,5.106,-31.00M,-,475.04M,103.00M,30.545,98.18M,20.639,-1.673,10.309,-
United Engineers,2.530,2.52,-,11 May 2019,"1,608.76M",616.68M,34.79%,0.09,13.26M,SGD 2.50027,SGD 2.48732,28.849,4.291,24.062,0.807,1.190,1.785,837.46M,37.80M,"2,447.09M","3,621.67M",251.25M,2.911,1.521,-12.50M,-,374.91M,55.00M,14.670,55.69M,14.136,-29.476,-13.573,-
Sheng Siong,1.040,1.05,-,11 May 2019,"1,578.71M",1.50B,40.90%,0.05,26.94M,SGD 1.07084,SGD 1.07089,22.080685714285714,1.738408344671202,17.97615238095238,5.44,3.238,3.800,-87.23M,-,"1,491.48M",436.34M,87.23M,25.244,16.794,-28.17M,-,890.93M,83.79M,9.404,70.80M,7.916,3.587,10.862,-
Halcyon Agri,0.495,0.55,-,11 May 2019,879.59M,1.60B,29.15%,-0.01,2.38M,SGD 0.43293,SGD 0.43293,-,0.2799229899142238,40.380466019417476,0.917,1.818,-,"1,067.25M",55.42M,"1,946.84M","1,814.62M",125.21M,-1.13,-0.778,-78.71M,-,"2,903.46M",4.48M,0.209,-11.50M,-0.626,15.522,-,-
UIC,3.080,3.1,-,11 May 2019,"4,440.85M",1.43B,11.65%,0.22,0.91M,SGD 2.86692,SGD 2.87083,14.27504262295082,6.893637624294545,12.367462295081967,0.654,0.968,1.031,201.55M,4.52M,"4,642.40M","8,421.65M",247.89M,4.704,4.070,-6.37M,-,656.97M,380.73M,57.952,313.37M,51.677,0.738,-0.927,-
APAC Realty,0.560,0.64,-,11 May 2019,227.33M,355.20M,27.29%,0.07,39.93M,SGD 0.56921,SGD 0.56921,8.077784615384616,0.40155644970414206,7.6272,1.589,7.031,-,14.50M,38.18M,241.82M,283.20M,43.02M,17.563,9.339,-0.37M,-,419.94M,29.47M,7.006,24.24M,5.773,-,-,-
Chip Eng Seng,0.710,0.8,-,11 May 2019,534.01M,626.01M,48.75%,0.12,39.76M,SGD 0.72469,SGD 0.72483,7.15325,0.3891021874999999,4.5369,0.613,5.000,5.260,"1,468.58M",214.03M,"2,002.59M","3,004.84M",342.56M,7.85,2.797,-50.27M,-,"1,080.23M",98.04M,9.076,63.12M,7.429,16.993,-2.591,-
Oxley,0.305,0.3,-,11 May 2019,"1,239.08M",4.12B,16.87%,0.07,66.14M,SGD 0.31117,SGD 0.31121,5.5408333333333335,1.283745,5.199233333333333,0.879,3.667,3.350,"3,612.04M",223.84M,"4,444.23M","5,995.49M",254.98M,22.980999999999998,3.999,-30.89M,-,997.68M,266.89M,30.301,221.56M,22.133,19.802,31.398,-
COSCO SHP SG,0.335,0.34,-,11 May 2019,761.34M,2.24B,45.21%,0.0,81.23M,SGD 0.35587,SGD 0.35587,56.92184057971015,4.386227263180006,19.329014492753625,1.4380000000000002,-,-,105.52M,28.82M,866.86M,822.81M,72.81M,2.484,1.906,-30.18M,-,163.67M,24.03M,14.682,12.98M,8.078,-45.827,-15.757,-
GuocoLand,1.960,1.98,-,11 May 2019,"2,343.08M",1.11B,14.85%,0.34,3.33M,SGD 1.80957,SGD 1.80792,11.493641025641026,3.204616752136752,9.657271794871795,0.543,3.535,2.856,"3,414.17M",77.77M,"6,381.95M","10,499.24M",884.93M,9.624,2.359,-27.81M,-,738.60M,447.04M,34.083,192.54M,30.669,11.327,56.611,-
Ho Bee Land,2.530,2.53,-,11 May 2019,"1,779.45M",665.23M,20.71%,0.41,2.08M,SGD 2.47537,SGD 2.47537,6.235,9.04,6.562,0.512,3.162,2.982,"2,291.51M",62.93M,"4,070.95M","5,970.84M",176.32M,8.422,5.109,-4.93M,-,196.85M,262.98M,133.598,270.04M,137.402,7.521,-14.135,-
Yoma Strategic,0.340,0.315,-,11 May 2019,597.18M,1.90B,64.81%,0.0,57.60M,SGD 0.33725,SGD 0.33722,73.7194375,5.4797109375,19.2875625,0.829,1.587,0.276,321.45M,26.29M,791.09M,"1,364.46M",87.37M,3.921,1.484,-25.82M,-,123.04M,38.02M,25.037,8.85M,16.800,1.957,2.965,-
Clearbridge,0.158,0.196,-,11 May 2019,95.90M,489.31M,34.29%,-0.03,59.85M,SGD 0.17712,SGD 0.18424,-,10.158195751770096,-,2.012,-,-,-5.12M,5.07M,91.02M,62.76M,7.77M,-33.969,-28.710,-1.68M,-,6.14M,-18.40M,-299.886,-18.45M,-307.824,-,-,-
PEC,0.615,0.635,-,11 May 2019,162.38M,254.12M,31.37%,0.03,1.38M,SGD 0.568,SGD 0.57853,13.64316,0.408604032,6.286776,0.707,3.150,3.539,-64.70M,3.35M,84.07M,345.86M,86.80M,4.560,3.657,-6.91M,-,384.92M,14.43M,4.585,11.74M,3.417,-9.290,-3.357,-
Fu Yu,0.205,0.21,-,11 May 2019,158.13M,752.99M,57.44%,0.01,51.38M,SGD 0.20044,SGD 0.20044,12.681395348837208,0.7273120605732827,7.85960465116279,0.963,7.619,7.374,-83.91M,-,77.51M,211.59M,80.61M,7.216,5.448,-7.23M,-,197.69M,16.72M,8.458,11.89M,6.170,-7.478,11.712,-
UMS,0.645,0.72,-,11 May 2019,386.23M,536.43M,77.09%,0.08,105.04M,SGD 0.68506,SGD 0.68506,8.032937500000001,2.422799913194445,7.1595,1.690,6.250,7.423,6.19M,1.50M,392.42M,275.03M,18.93M,19.416,15.969,-15.69M,-,127.94M,44.62M,34.877,43.07M,33.339,1.232,8.349,-
China Aviation,1.270,1.44,-,11 May 2019,"1,250.62M",860.18M,27.48%,0.15,24.16M,SGD 1.24607,SGD 1.24702,8.488123287671232,0.034049774817038844,8.463767123287672,1.191,3.125,3.382,-485.06M,-,765.56M,"1,653.57M",357.69M,12.599,5.268,-1.12M,-,"27,951.87M",33.06M,0.160,127.28M,0.455,5.776,5.983,-
Rex Intl,0.069,0.078,-,11 May 2019,100.98M,1.29B,47.36%,-0.02,863.18M,SGD 0.07999,SGD 0.07999,57.1734,136.10731921875,21.9282,0.626,-,-,-10.46M,-,90.53M,208.90M,34.12M,0.962,1.158,-35.95M,-,0.55M,14.04M,"3,449.386",1.55M,498.526,-,-,-
OUE,1.740,1.74,-,11 May 2019,"1,707.99M",901.52M,30.76%,0.02,6.70M,SGD 1.52657,SGD 1.52673,-,2.657,26.804,0.398,1.149,1.344,"3,051.00M",76.80M,"4,767.22M","9,265.82M",437.03M,0.252,0.619,-7.16M,-,642.90M,115.25M,17.927,10.02M,8.808,7.020,-,-
Riverstone,0.990,1.11,-,11 May 2019,824.72M,741.08M,32.30%,0.06,4.34M,SGD 1.11933,SGD 1.11541,17.135839285714283,2.136155452806122,13.018499999999998,3.545,2.087,2.116,-25.22M,1.83M,799.50M,872.86M,97.01M,19.333,15.708,-126.15M,-,301.62M,151.07M,16.402,42.47M,14.080,20.239,16.918,-
Sunningdale Tech,1.310,1.33,-,11 May 2019,253.56M,190.65M,64.02%,0.1,12.50M,SGD 1.45551,SGD 1.45551,8.361514925373134,0.3335480619291601,4.098149253731343,0.665,5.639,4.804,20.98M,6.15M,274.54M,714.43M,88.75M,7.963,4.256,-37.01M,-,726.80M,37.76M,5.195,29.76M,4.094,4.319,12.023,-
